,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Interest Bearing Deposits Assets,Restricted Cash And Investments,Restricted Cash & Cash Equivalents,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Home Loan Bank Stock,Customer Acceptances,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Prepaid Assets,Net PPE,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Total Tax Payable,Income Tax Payable,Other Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Commercial Paper,Other Current Borrowings,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Preferred Securities Outside Stock Equity,Liabilities of Discontinued Operations,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Foreign Currency Translation Adjustments,Other Equity Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
13,12/31/2009,"212,224,000","71,390,000","67,855,000","3,732,000",-,"63,664,000","459,000",-,-,"3,535,000","3,535,000",-,"502,000","3,900,000","57,488,000","1,439,000","51,632,000","4,417,000","51,632,000","2,816,000","4,562,000","30,392,000","33,177,000","10,325,000","721,000","6,100,000","16,031,000","503,000","-2,282,000","11,828,000","4,167,000","639,000","7,661,000","1,803,000","1,602,000","22,432,000","16,249,000","6,183,000","2,242,000","1,267,000","183,221,000","135,050,000","101,573,000","101,573,000","33,477,000","3,348,000","15,205,000","15,205,000","10,721,000","4,484,000","4,484,000",-,"4,484,000","12,000","12,000","12,000","602,000","1,194,000","5,202,000","17,711,000","17,711,000","125,000",-,"1,608,000","3,766,000","29,003,000","28,977,000","12,000",0,"12,000","8,912,000","21,917,000","29,000","-1,835,000",-,-,-,"26,000","46,688,000",-,"28,977,000","6,545,000","46,700,000","6,545,000","17,723,000",-,"1,208,862","1,207,835",-,"1,027"
14,12/31/2008,"237,009,000","99,285,000","97,285,000","4,881,000","58,159,000","92,404,000","1,275,000",-,-,"2,000,000","2,000,000",-,"265,000",-,"56,166,000","11,102,000","47,485,000","7,371,000","37,693,000","2,421,000",-,"42,979,000","43,394,000","16,732,000",-,"7,498,000","43,394,000","415,000",-,"619,000","619,000","619,000","4,006,000","793,000","1,686,000","21,754,000","15,898,000","5,856,000",-,"14,520,000","208,959,000","159,673,000","103,857,000","103,857,000","55,816,000","1,372,000","13,053,000","13,053,000","9,274,000","3,779,000","3,779,000",-,-,"138,000","138,000","138,000","755,000","8,085,000",-,"16,620,000","16,620,000","114,000",-,-,"10,018,000","28,050,000","28,050,000","2,797,000","2,786,000","11,000","10,250,000","20,432,000","3,000","-5,426,000","-363,000","-5,063,000",-,-,"44,670,000","2,786,000","25,264,000","6,296,000","42,022,000","3,510,000","16,758,000",-,"1,147,607","1,147,567",-,40.262
15,12/31/2007,"197,656,000","50,566,000","41,458,000","6,635,000","6,635,000","34,312,000","511,000",-,-,"9,108,000","9,108,000",-,"81,000",-,"55,118,000","6,420,000","48,698,000","2,180,000","46,518,000","2,400,000",-,"45,637,000","45,964,000","20,455,000",-,"6,220,000","19,289,000","327,000",-,"10,595,000","5,628,000","739,000","4,967,000","1,986,000","1,731,000","23,252,000","16,331,000","6,921,000",0,"6,290,000","168,253,000","118,125,000","85,753,000","85,753,000","32,372,000","2,193,000","15,679,000","15,679,000","7,578,000","8,101,000","8,101,000",-,-,"4,079,000","4,079,000","4,079,000","2,007,000","4,577,000",-,"18,713,000","18,713,000","167,000",-,0,"4,720,000","29,403,000","29,403,000","11,000",-,"11,000","10,015,000","19,990,000","39,000","-574,000","11,000","-585,000",-,-,"48,116,000",-,"29,403,000","6,151,000","52,195,000","6,151,000","22,792,000",-,"1,145,983","1,145,983",-,-
16,12/31/2006,"103,370,000","21,450,000","16,336,000","2,840,000","2,840,000","13,172,000","324,000",-,-,"5,114,000","5,114,000",-,"213,000",-,"27,507,000","5,544,000","857,000","1,729,000","19,377,000",-,-,"32,008,000","32,295,000","13,778,000","266,000","4,521,000","13,730,000","287,000",-,"9,363,000","3,865,000","422,000","5,498,000","858,000","1,050,000","7,013,000","5,172,000","1,841,000","18,000","3,890,000","91,777,000","62,146,000","42,592,000","42,592,000","19,554,000","790,000","12,595,000","12,595,000","7,466,000","5,129,000","5,129,000","7,266,000",-,"1,775,000","1,775,000",-,"1,775,000","2,507,000",-,"10,398,000","10,398,000","150,000",-,"64,000","3,127,000","11,593,000","11,593,000","7,903,000",-,"7,903,000","9,444,000","2,142,000","7,576,000","-317,000",-,-,"-3,000",-,"21,991,000",-,"11,593,000","4,580,000","21,991,000","4,580,000","10,398,000",-,"755,861","755,861",-,-
17,12/31/2005,"102,074,000","14,584,000","12,159,000",-,"3,515,000","8,644,000",-,-,-,"2,425,000","2,425,000",-,"233,000",-,"33,256,000","5,930,000","27,326,000",-,-,-,-,"40,315,000","40,726,000",-,-,-,"40,726,000","411,000",-,"391,000","391,000","391,000",-,-,"1,060,000","4,430,000",-,-,-,"7,805,000","92,198,000","64,424,000","46,188,000","46,188,000","18,236,000","834,000","12,919,000","12,919,000","172,000","4,124,000","4,124,000","8,623,000",-,"860,000","860,000",-,"860,000",-,-,"7,817,000","7,817,000",-,-,-,"5,344,000","9,876,000","9,876,000","7,838,000",-,"7,838,000","7,089,000","1,826,000","6,736,000","-141,000",-,-,-,-,"17,693,000",-,"9,876,000","5,446,000","18,553,000","5,446,000","8,677,000",-,"771,332","771,332",-,-
18,12/31/2004,"94,529,000","17,786,000","12,078,000",-,"3,886,000","8,192,000",-,-,-,"5,708,000","5,708,000",-,"137,000",-,"28,429,000","4,627,000","23,802,000",-,-,-,-,"35,190,000","35,781,000",-,-,-,"35,781,000","591,000",-,"285,000","285,000","285,000",-,-,"1,097,000","4,270,000",-,-,-,"7,335,000","85,239,000","58,721,000","41,279,000","41,279,000","17,442,000","1,205,000","13,229,000","13,229,000","113,000","4,452,000","4,452,000","8,664,000",-,"833,000","833,000",-,"833,000",-,-,"5,821,000","5,821,000",-,-,-,"5,430,000","9,290,000","9,290,000","7,836,000",-,"7,836,000","6,162,000","1,790,000","6,492,000","-6,000",-,-,-,-,"15,111,000",-,"9,290,000","5,020,000","15,944,000","5,020,000","6,654,000",-,"778,121","778,121",-,-
19,12/31/2003,"92,397,000","16,958,000","12,129,000",-,"3,843,000","8,286,000",-,-,-,"4,829,000","4,829,000",-,"170,000",-,"28,309,000","5,406,000","22,903,000",-,-,-,-,"34,615,000","35,283,000",-,-,-,"35,283,000","668,000",-,"214,000","214,000","214,000",-,-,"1,398,000","4,092,000",-,-,-,"6,641,000","83,969,000","56,406,000","41,617,000","41,617,000","14,789,000","1,039,000","14,530,000","14,530,000","82,000","4,256,000","4,256,000","10,192,000",-,"834,000","834,000",-,"834,000",-,-,"6,121,000","6,121,000",-,-,-,"5,039,000","8,428,000","8,428,000","7,800,000",-,"7,800,000","5,330,000","1,647,000","6,420,000","71,000",-,-,-,-,"14,549,000",-,"8,428,000","4,336,000","15,383,000","4,336,000","6,955,000",-,"775,319","775,319",-,-
20,12/31/2002,"77,564,000","11,237,000","9,852,000",-,"4,748,000","5,104,000",-,-,-,"1,385,000","1,385,000",-,"351,000",-,"25,609,000","7,309,000","18,300,000",-,-,-,-,"30,508,000","31,339,000",-,-,-,"31,339,000","831,000",-,"204,000","204,000","204,000",-,-,"975,000","2,575,000",-,-,-,"6,105,000","70,880,000","55,387,000","42,086,000","42,086,000","13,301,000","636,000","4,167,000","4,167,000","101,000","4,066,000","4,066,000",-,-,"625,000","625,000",-,"625,000",-,-,"5,440,000","5,440,000",-,-,-,"4,625,000","6,684,000","6,684,000","7,453,000",-,"7,453,000","4,736,000","847,000","6,483,000","131,000",-,-,-,-,"12,124,000",-,"6,684,000","4,109,000","12,749,000","4,109,000","6,065,000",-,"726,456","726,456",-,-
21,12/31/2001,"81,025,000","14,636,000","9,841,000",-,"3,222,000","6,619,000",-,-,-,"4,795,000","4,795,000",-,"313,000",-,"21,132,000","8,270,000","12,862,000",-,-,-,-,"35,131,000","35,747,000",-,-,-,"35,747,000","616,000",-,"236,000","236,000","236,000",-,-,"992,000","2,084,000",-,-,-,"6,501,000","74,708,000","55,711,000","43,076,000","43,076,000","12,635,000","1,756,000","3,858,000","3,858,000","92,000","3,766,000","3,766,000",-,-,"2,363,000","2,363,000",-,"2,363,000",-,-,"4,976,000","4,976,000",-,-,-,"6,044,000","6,317,000","6,317,000","7,431,000",-,"7,431,000","4,383,000","741,000","6,312,000","74,000",-,-,-,-,"11,293,000",-,"6,317,000","4,233,000","13,656,000","4,233,000","7,339,000",-,"730,324","730,324",-,-
22,12/31/2000,"77,114,000","14,252,000","8,462,000",-,"3,125,000","5,337,000",-,-,-,"5,790,000","5,790,000",-,"447,000",-,"19,452,000","12,051,000","7,401,000",-,-,-,-,"35,645,000","36,261,000",-,-,-,"36,261,000","616,000",-,"354,000","354,000","354,000",-,-,"924,000",-,-,-,-,"6,040,000","69,462,000","56,376,000","43,121,000","43,121,000","13,255,000","1,108,000","3,410,000","3,410,000","127,000","3,283,000","3,283,000",-,-,"1,687,000","1,687,000",-,"1,687,000",-,-,"3,036,000","3,036,000",-,-,-,"3,845,000","7,652,000","6,152,000","7,392,000","1,000","7,391,000","3,566,000","521,000","5,526,000","199,000",-,-,-,"1,500,000","9,188,000","1,000","6,151,000","6,152,000","10,874,000","6,151,000","4,723,000",-,"741,068","741,068",-,-
23,12/31/1999,"74,756,000","15,509,000","10,126,000",-,"3,276,000","6,850,000",-,-,-,"5,383,000","5,383,000",-,"739,000",-,"15,614,000","8,715,000","6,899,000",-,-,-,-,"36,952,000","37,547,000",-,-,-,"37,547,000","595,000",-,"319,000","319,000","319,000",-,-,"893,000",-,-,-,-,"4,730,000","68,113,000","55,751,000","43,589,000","43,589,000","12,162,000","1,318,000","2,775,000","2,775,000","131,000","2,644,000","2,644,000",-,-,"3,825,000","3,825,000",-,"3,825,000",-,-,"2,811,000","2,811,000",-,-,-,"1,633,000","6,643,000","5,143,000","7,336,000","1,000","7,335,000","2,620,000","315,000","5,148,000","20,000",-,-,-,"1,500,000","7,954,000","1,000","5,142,000","5,143,000","11,778,000","5,142,000","6,636,000",-,"737,040","737,040",-,-
24,12/31/1998,"63,503,000","11,784,000","8,503,000",-,"3,999,000","4,504,000",-,-,-,"3,281,000","3,281,000",-,"946,000",-,"8,052,000","1,637,000","6,415,000",-,-,-,-,"37,750,000","38,386,000",-,-,-,"38,386,000","636,000",-,"355,000","355,000","355,000",-,-,"856,000",-,-,-,-,"3,760,000","56,755,000","44,632,000","33,152,000","33,152,000","11,480,000","1,571,000","2,371,000","2,371,000","188,000","2,183,000","2,183,000",-,-,"4,536,000","4,536,000",-,"4,536,000",-,-,"2,086,000","2,086,000",-,-,-,"1,559,000","6,748,000","5,448,000","1,000","1,000",-,"1,318,000",-,-,"312,000",-,-,"3,817,000","1,300,000","7,534,000","1,000","5,447,000","5,448,000","12,069,000","5,447,000","6,622,000",-,"773,119","773,119",-,-
25,12/31/1997,"59,961,000","10,715,000","7,895,000",-,"5,769,000","2,126,000",-,-,-,"2,820,000","2,820,000",-,"1,187,000",-,"9,244,000","2,616,000","6,628,000",-,-,-,-,"34,486,000","35,127,000",-,-,-,"35,127,000","641,000",-,"356,000","356,000","356,000",-,-,"835,000",-,-,-,-,"3,138,000","53,959,000","41,357,000","28,796,000","28,796,000","12,561,000","2,329,000","2,092,000","2,092,000","182,000","1,910,000","1,910,000",-,-,"4,673,000","4,673,000",-,"4,673,000",-,-,"1,809,000","1,809,000",-,-,-,"1,699,000","6,002,000","5,002,000","1,000","1,000",-,"3,493,000",-,-,-,-,-,"1,508,000","1,000,000","6,811,000","1,000","5,001,000","5,002,000","11,483,000","5,001,000","6,482,000",-,"749,784","749,784",-,-
26,12/31/1996,"55,765,000","7,981,000","7,419,000",-,"6,032,000","1,387,000",-,-,-,"562,000","562,000",-,"985,000",-,"6,600,000","1,547,000","5,053,000",-,-,-,-,"36,105,000","37,006,000",-,-,-,"37,006,000","901,000",-,"315,000","315,000","315,000",-,-,"875,000",-,-,-,-,"2,904,000","50,038,000","39,343,000","27,531,000","27,531,000","11,812,000","1,737,000","1,584,000","1,584,000","167,000","1,417,000","1,417,000",-,-,"4,144,000","4,144,000",-,"4,144,000",-,-,"1,816,000","1,816,000",-,-,-,"1,414,000","5,727,000","5,127,000","112,000","112,000",-,"2,798,000",-,-,-,-,-,"2,217,000","600,000","6,943,000","112,000","5,015,000","5,127,000","10,975,000","5,015,000","5,960,000",-,"772,936","772,936",-,-
27,12/31/1995,"53,720,000","6,629,000","5,693,000",-,"4,711,000","982,000",-,-,-,"936,000","936,000",-,"918,000",-,"5,632,000","762,000","4,870,000",-,-,-,-,"36,931,000","37,687,000",-,-,-,"37,687,000","756,000",-,"270,000","270,000","270,000",-,-,"902,000",-,-,-,-,"2,438,000","48,488,000","35,918,000","25,453,000","25,453,000","10,465,000","3,933,000","1,568,000","1,568,000","190,000","1,378,000","1,378,000",-,-,"3,706,000","3,706,000",-,"3,706,000",-,-,"1,848,000","1,848,000",-,-,-,"1,515,000","5,232,000","5,232,000","113,000","113,000",-,"2,689,000",-,-,-,-,-,"2,430,000",-,"7,080,000","113,000","5,119,000","5,232,000","10,673,000","5,119,000","5,554,000",-,"792,544","792,544",-,-
28,12/31/1994,"48,879,000","6,914,000","3,895,000",-,"2,903,000","992,000",-,-,-,"3,019,000","3,019,000",-,"810,000",-,"5,591,000","940,000","4,651,000",-,-,-,-,"32,291,000","33,083,000",-,-,-,"33,083,000","792,000",-,"290,000","290,000","290,000",-,-,"914,000",-,-,-,-,"2,069,000","44,583,000","34,091,000","25,512,000","25,512,000","8,579,000","1,502,000","1,262,000","1,262,000","213,000","1,049,000","1,049,000",-,-,"4,738,000","4,738,000",-,"4,738,000",-,-,"1,774,000","1,774,000",-,-,-,"1,216,000","4,296,000","4,296,000","119,000","119,000",-,"2,048,000",-,-,-,-,-,"2,129,000",-,"6,070,000","119,000","4,177,000","4,296,000","10,689,000","4,177,000","6,512,000","2,617,000","750,588","750,588",-,-
29,12/31/1993,"45,546,000","4,816,000","4,780,000",-,"4,511,000","269,000",-,-,-,"36,000","36,000",-,"888,000",-,"6,922,000","1,325,000","5,597,000",-,-,-,-,"29,600,000","30,570,000",-,-,-,"30,570,000","970,000",-,"222,000","222,000","222,000",-,-,"945,000",-,-,-,-,"2,153,000","41,474,000","32,159,000","23,469,000","23,469,000","8,690,000","2,711,000","874,000","874,000","111,000","763,000","763,000",-,-,"2,781,000","2,781,000",-,"2,781,000",-,-,"1,590,000","1,590,000",-,-,-,"1,359,000","4,072,000","4,072,000","294,000","294,000",-,"1,536,000",-,-,-,-,-,"2,242,000",-,"5,662,000","294,000","3,778,000","4,072,000","8,149,000","3,778,000","4,371,000",-,"748,912","748,912",-,-
30,12/31/1992,"40,909,000","5,347,000","5,317,000",-,"5,084,000","233,000",-,-,-,"30,000","30,000",-,"611,000",-,"5,384,000","736,000","4,648,000",-,-,-,-,"26,388,000","27,391,000",-,-,-,"27,391,000","1,003,000",-,"201,000","201,000","201,000",-,-,"718,000",-,-,-,-,"2,260,000","37,394,000","29,449,000","21,915,000","21,915,000","7,534,000","1,685,000","527,000","527,000","146,000","381,000","381,000",-,-,"3,029,000","3,029,000",-,"3,029,000",-,-,"1,701,000","1,701,000",-,-,-,"1,003,000","3,515,000","3,515,000","400,000","400,000",-,"1,010,000",-,-,-,-,-,"2,105,000",-,"5,216,000","400,000","3,115,000","3,515,000","7,845,000","3,115,000","4,730,000",-,"646,920","646,920",-,-
31,12/31/1991,"39,426,000","3,832,000","2,255,000",-,"1,915,000","340,000",-,-,-,"1,577,000","1,577,000",-,"668,000",-,"4,258,000","485,000","3,773,000",-,-,-,-,"26,988,000","27,996,000",-,-,-,"27,996,000","1,008,000",-,"268,000","268,000","268,000",-,-,"734,000",-,-,-,-,"2,678,000","36,524,000","28,974,000","22,632,000","22,632,000","6,342,000","3,597,000","459,000","459,000","225,000","234,000","234,000",-,-,"1,128,000","1,128,000",-,"1,128,000",-,-,"1,232,000","1,232,000",-,-,-,"1,134,000","2,902,000","2,902,000","395,000","395,000",-,"785,000",-,-,-,-,-,"1,722,000",-,"4,134,000","395,000","2,507,000","2,902,000","4,867,000","2,507,000","2,360,000","105,000","559,400","559,400",-,-
32,12/31/1990,"45,389,900","5,302,300","3,712,600",-,"2,860,000","852,600",-,-,-,"1,589,700","1,589,700",-,"1,250,500",-,"3,506,200","219,100","3,287,100",-,-,-,-,"31,971,900","33,009,000",-,-,-,"33,009,000","1,037,100",-,"375,900","375,900","375,900",-,-,"822,200",-,-,-,-,"2,160,900","42,504,200","34,021,200","26,666,100","26,666,100","7,355,100","3,441,100","615,200","615,200","280,000","335,200","335,200",-,-,"1,831,300","1,831,300",-,"1,831,300",-,-,"864,800","864,800",-,-,-,"1,730,600","2,885,700","2,885,700","394,800","394,800",-,"781,200",-,-,-,-,-,"1,709,700",-,"3,750,500","394,800","2,490,900","2,885,700","5,187,000","2,490,900","2,696,100",-,"554,824","554,824",-,-
33,12/31/1989,"48,856,500","5,576,100","3,530,100",-,"2,685,300","844,800",-,-,-,"2,046,000","2,046,000",-,"1,389,200",-,"3,920,100","90,900","3,829,200",-,-,-,-,"34,629,400","35,751,500",-,-,-,"35,751,500","1,122,100",-,"513,000","513,000","513,000",-,-,"851,800",-,-,-,-,"1,976,900","46,092,200","34,927,200","26,895,800","26,895,800","8,031,400","6,076,000","490,100","490,100","392,800","97,300","97,300",-,-,"1,556,100","1,556,100",-,"1,556,100",-,-,"950,700","950,700",-,-,-,"2,092,100","2,764,300","2,764,300","396,500","396,500",-,"687,700",-,-,-,-,-,"1,680,100",-,"3,715,000","396,500","2,367,800","2,764,300","4,874,600","2,367,800","2,506,800",-,"543,168","543,168",-,-
