,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Interest Bearing Deposits Assets,Restricted Cash And Investments,Restricted Investments,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Security Agree to be Resold,Federal Home Loan Bank Stock,Customer Acceptances,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Other Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Other Current Borrowings,Current Capital Lease Obligation,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Liabilities of Discontinued Operations,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
0,12/31/2022,"64,112,150","4,412,997","3,620,805","534,980",-,"3,085,825",-,-,-,"792,192","792,192","792,192",-,-,-,-,-,"9,036,861",-,"3,001,868","6,034,993","763,256","47,632,429","48,228,074","25,644","15,711,095","76,295","32,415,040",-,"595,645",-,-,-,-,-,"103,681","103,681",-,-,-,-,"103,681","-148,126","465,697","465,697",-,-,"1,697,229","58,127,538","55,967,849","34,916,759","34,916,759","21,051,090","300,000",0,"300,000","1,595,358",-,-,-,"1,595,358","111,931",-,-,-,"111,931","152,400","152,400",-,-,-,-,"5,984,612","5,984,612",168,-,168,"5,582,546","1,936,389","768,862","-765,629",-,"6,137,012",-,"5,984,612","111,931","5,518,915","152,400","5,518,915","264,331",-,"168,459","140,948",-,"27,511"
1,12/31/2021,"60,870,701","7,002,930","4,649,427","527,317",-,"4,122,110",-,"77,434","77,434","2,353,503","2,353,503","2,353,503","77,434",-,-,-,-,"10,303,875","338,522",-,"9,965,353","289,741","41,152,837","41,694,416",635,"14,150,608","127,512","27,415,661",-,"541,579",-,-,-,-,-,"98,632","98,632",-,-,-,-,"98,632","-139,358","465,697","465,697",-,-,"1,479,555","55,033,483","53,350,532","30,505,068","30,505,068","22,845,464","300,000",-,"300,000","876,089",-,-,-,"876,089","105,534",0,-,0,"105,534","401,328","401,328","249,331",-,-,-,"5,837,218","5,837,218",168,-,168,"4,683,659","1,893,557","649,785","-90,381",-,"6,238,546",-,"5,837,218","105,534","5,371,521","401,328","5,371,521","506,862",-,"167,791","141,908",-,"25,883"
2,12/31/2020,"52,156,913","6,287,699","4,827,699","592,117",-,"4,235,582",-,"83,046","83,046","1,460,000","1,460,000","1,460,000","83,046",-,-,-,-,"5,811,183","266,525",-,"5,544,658","213,555","37,772,760","38,392,743","1,788","13,631,726","163,259","24,595,970",-,"619,983",-,-,-,-,-,"95,460","95,460",-,-,-,-,"95,460","-127,884","465,697","465,697",-,-,"1,427,513","46,887,738","44,862,752","28,564,451","28,564,451","16,298,301","300,000",-,"300,000","796,796",-,-,-,"796,796","123,839","21,009",-,"21,009","102,830","804,351","804,351","652,612",-,-,-,"5,269,175","5,269,175",167,-,167,"4,000,414","1,858,352","634,083","44,325",-,"6,073,526",-,"5,269,175","102,830","4,803,478","825,360","4,803,478","928,190",-,"167,241","141,565",-,"25,675"
3,12/31/2019,"44,196,096","4,317,310","3,457,310","536,221",-,"2,921,089",-,"78,580","78,580","860,000","860,000","860,000","78,580",-,-,-,-,"3,571,354","254,140",-,"3,317,214","207,037","34,420,686","34,778,973",434,"12,150,931","282,914","22,344,694",-,"358,287",-,-,-,-,-,"99,973","99,973",-,-,-,-,"99,973","-116,790","465,697","465,697",-,-,"1,035,459","39,178,479","37,324,259","26,244,223","26,244,223","11,080,036","200,000",-,"200,000","619,283",-,-,-,"619,283","136,752","28,669",-,"28,669","108,083","898,185","898,185","745,915",-,-,-,"5,017,617","5,017,617",167,-,167,"3,689,377","1,826,345","479,864","-18,408",-,"5,915,802",-,"5,017,617","108,083","4,551,920","926,854","4,551,920","1,034,937",-,"166,622","145,625",-,"20,997"
4,12/31/2018,"41,042,356","4,407,377","3,372,377","516,291",-,"2,856,086",-,"74,069","74,069","1,035,000","1,035,000","1,035,000","74,069",-,-,-,-,"2,973,482","2,973,482",-,"2,741,847","184,873","32,074,142","32,385,464",275,"12,056,970","331,270","19,996,949",-,"311,322",-,-,-,-,-,"119,180","237,727",-,-,-,-,"237,727","-118,547","465,547","465,547",-,0,"862,866","36,618,382","35,439,628","24,062,619","24,062,619","11,377,009","50,000",-,"50,000","598,109",-,-,-,"598,109","57,638","57,638",-,"57,638",-,"473,007","473,007","326,172",-,0,-,"4,423,974","4,423,974",166,-,166,"3,160,132","1,789,811","467,961","-58,174",-,"4,896,981",-,"4,423,974",-,"3,958,427","530,645","3,958,427","530,645",-,"165,868","144,961",-,"20,906"
5,12/31/2017,"37,150,249","3,623,014","2,573,014","457,181",-,"2,115,833",-,"73,521","73,521","1,050,000","1,050,000","1,050,000","73,521",-,-,-,-,"3,241,303","3,241,303",0,"3,016,752","162,824","28,688,675","28,975,803",85,"10,697,231","336,504","17,941,983",-,"287,128",-,-,-,-,-,"121,209","233,107",-,-,-,-,"233,107","-111,898","469,433","469,433",-,"91,318","800,161","33,308,298","31,615,063","20,727,757","20,727,757","10,887,306","50,000",-,"50,000","542,656",-,-,-,"542,656",0,0,-,0,-,"495,468","495,468","323,891",-,"605,111","605,111","3,841,951","3,841,951",165,-,165,"2,576,302","1,755,330","452,327","-37,519",-,"4,337,419",-,"3,841,951",-,"3,372,518","495,468","3,372,518","495,468",-,"165,215","144,543",-,"20,672"
6,12/31/2016,"34,788,840","4,201,651","2,201,651","460,559",-,"1,741,092",-,-,-,"2,000,000","2,000,000","2,000,000","72,775",-,-,-,-,"3,653,026","3,653,026","143,971","3,335,795","183,917","25,265,695","25,525,012","23,076","9,661,021","2,075,706","13,765,209",-,"260,520","1,203",-,-,-,-,"159,923","274,813",-,-,-,-,"274,813","-114,890","469,433","469,433",-,-,"1,015,118","31,361,099","29,890,983","19,707,037","19,707,037","10,183,946","350,000",-,"350,000","552,096",-,-,-,"552,096","60,050","60,050",-,"60,050",-,"507,970","507,970","321,643",-,-,-,"3,427,741","3,427,741",164,-,164,"2,187,676","1,727,434","439,387","-48,146",-,"3,935,711",-,"3,427,741",-,"2,958,308","568,020","2,958,308","568,020",-,"164,604","144,167",-,"20,437"
7,12/31/2015,"32,350,922","2,960,887","1,360,887","1,177,889","114,998","1,360,887",-,-,-,"1,600,000","1,600,000","1,600,000","83,702",-,-,-,-,"4,073,142",-,-,"4,073,142","193,978","23,410,747","23,691,719","31,958","9,003,007","1,956,091","12,700,663",-,"264,959","-16,013",-,-,-,-,"166,993","267,053",-,-,-,-,"267,053","-100,060","469,433","469,433",-,-,"1,242,735","29,227,972","27,475,981","18,819,176","18,819,176","8,656,805",-,-,0,"526,483",-,-,-,"526,483",0,0,-,0,-,"1,225,508","1,225,508","1,019,424",-,-,-,"3,122,950","3,122,950",164,-,164,"1,872,594","1,701,295","436,162","-14,941",-,"4,348,458",-,"3,122,950",-,"2,653,517","1,225,508","2,653,517","1,225,508",-,"164,247","143,909",-,"20,337"
8,12/31/2014,"28,738,049","2,310,194","1,085,194","944,118","95,767","1,039,885","45,309",-,-,"1,225,000","1,225,000","1,225,000","85,690",-,"32,111","32,111",-,"2,965,079","2,626,365",-,"338,714","178,652","21,514,220","21,773,095","45,950","8,078,131","1,513,719","12,135,295",-,"261,679","2,804",-,-,-,-,"180,900","266,309",-,-,-,-,"266,309","-85,409","469,433","469,433",-,-,"1,361,322","25,887,481","24,008,774","16,627,744","16,627,744","7,381,030","795,000",-,"795,000","540,618","96,106",-,"96,106","444,512",-,-,-,-,-,"543,089","543,089","317,241",-,-,-,"2,850,568","2,850,568",164,-,164,"1,598,598","1,677,767","430,198","4,237",-,"3,393,657",-,"2,850,568",-,"2,381,135","543,089","2,381,135","543,089",-,"163,772","143,582",-,"20,190"
9,12/31/2013,"24,730,068","2,242,740","942,740","693,387","201,828","895,820","46,920",-,-,"1,300,000","1,300,000","1,300,000","110,663","21,236","40,273","40,273","112,650","2,991,270","2,733,797",-,"257,473","165,724","17,805,583","18,078,930","204,970","5,757,603","1,613,847","10,502,510",-,"249,675","-23,672","116,314","116,314",-,-,"177,710","247,478","15,074","157,166","49,043","26,195",-,"-69,768","337,438","337,438",-,-,"1,202,101","22,365,843","20,412,918","14,591,019","14,591,019","5,821,899","995,000",-,"995,000","415,965",-,-,-,"415,965",0,0,-,0,-,"541,960","541,960","315,092",-,-,"21,236","2,364,225","2,364,225",163,0,163,"1,360,130","1,571,670","537,279","-30,459",-,"2,906,185",-,"2,364,225",-,"2,026,787","541,960","2,026,787","541,960",-,"163,098","137,631",-,"25,467"
10,12/31/2012,"22,536,110","2,829,391","1,379,391","933,050","386,530","1,323,106","56,285",-,-,"1,450,000","1,450,000","1,450,000","155,278","28,612","59,719","59,719","110,133","2,973,407","2,607,029",-,"366,378","185,645","14,820,102","14,820,102","174,317","4,818,598","832,533","9,758,698",-,"744,743","-19,301","94,837","94,837",-,-,"107,517","171,720","15,545","82,418","44,122","29,635",-,"-64,203","337,438","337,438",-,-,"1,360,775","20,153,988","18,309,354","13,773,477","13,773,477","4,535,877","995,000",-,"995,000","379,481",-,-,-,"379,481","20,000","20,000",-,"20,000",-,"450,153","450,153","312,975",-,-,"28,612","2,382,122","2,382,122","83,184","83,027",157,"1,151,828","1,464,739","322,298","4,669",-,"2,832,275","83,027","2,382,122",-,"2,044,684","470,153","2,044,684","470,153",-,"157,160","140,294",85.71,"16,866"
11,12/31/2011,"21,968,667","2,217,619","1,431,185",-,-,"1,431,185",-,-,-,"786,434","786,434","786,434","184,409","198,774",-,"92,974","107,486","3,134,412","3,072,578",-,"61,834","144,445","14,263,533","14,490,171","278,603","6,630,338","583,785","3,074,303","3,923,142","209,876","-16,762","67,190","89,686","89,686",-,"118,926","178,588","15,545","92,041","45,918","25,084",-,"-59,662","337,438","337,438","67,190",-,"1,671,092","19,656,924","17,453,002","13,960,207","13,960,207","3,492,795","1,020,208",-,"1,020,208","516,285",-,-,-,"516,285","85,987","85,987","85,987",-,-,"667,429","667,429","455,251",-,-,"198,774","2,311,743","2,311,743","83,184","83,027",157,"934,617","1,443,883","116,001","-33,940",-,"2,979,172","83,027","2,311,743",-,"1,974,305","2,979,172","1,974,305","667,429",-,"156,798","149,328",85.71,"7,470"
12,12/31/2010,"20,700,537","1,833,949","1,333,949",-,-,"1,333,949",-,-,-,"500,000","500,000","500,000","210,090",-,-,"145,767","103,048","3,019,501","2,875,941",-,"143,560","155,074","13,451,130","13,738,319","220,055","5,376,339","733,526",-,"7,408,399","230,408","-56,781","79,518","82,090","82,090","73,796","135,919","196,640","15,545","108,131","48,430","24,534",-,"-60,721","337,438","337,438",-,-,"1,623,144","18,586,606","15,641,259","12,964,793","12,964,793","2,676,466","1,083,545",-,"1,083,545","401,088",-,-,-,"401,088","60,686","60,686","60,686",-,-,"1,225,144","1,225,144","1,214,148",-,-,"235,570","2,113,931","2,113,931","83,214","83,058",156,"720,116","1,434,277","111,262","-12,414",-,"3,339,075","83,058","2,113,931",-,"1,776,493","3,339,075","1,776,493","1,225,144","176,455","155,743","148,543",85.741,"7,200"
13,12/31/2009,"20,582,910","1,311,033","1,083,589",-,-,"1,083,589",-,-,-,"227,444","227,444","227,444","217,002",-,-,"58,105",-,"2,826,410","2,564,081",0,"262,329","84,833","13,844,840","14,127,202","28,014","1,283,182","8,529,047",-,"5,598,155","238,833","-43,529","122,920","82,370","82,370","40,550",-,-,-,-,-,-,-,-,"337,438","337,438",-,-,"1,988,082","18,298,251","14,987,613","12,696,354","12,696,354","2,291,259","1,026,870",-,"1,026,870","175,771",-,-,-,"175,771","74,406","74,406","74,406",-,-,"1,872,427","1,872,427","1,805,387",-,-,"235,570","2,284,659","2,284,659","693,920","693,803",117,"604,223","1,091,047","105,130",599,-,"4,157,086","693,803","2,284,659",-,"1,947,221","4,157,086","1,947,221","1,872,427","788,838","116,754","109,963",727.334,"6,791"
14,12/31/2008,"12,422,816","1,043,171","878,853",-,-,"878,853",-,-,-,"164,318","164,318",-,-,"5,538",-,-,-,"2,162,511","2,162,511",-,-,-,"8,069,377","8,247,404",-,-,-,-,"8,247,404","178,027",-,"129,190","129,190","129,190",-,"60,184",-,-,-,-,-,-,-,"337,438",-,-,-,"615,407","10,872,050","8,141,959","6,848,962","6,848,962","1,292,997","2,379,759",-,-,"109,224","109,224","92,718","16,506",-,-,-,-,-,-,"235,570","235,570",-,-,-,"5,538","1,550,766","1,550,766",70,-,70,"572,172","1,167,832","102,817","-86,491",-,"1,786,336",-,"1,550,766",-,"1,213,328","1,786,336","1,213,328","235,570",-,"70,255","63,623",503.051,"6,632"
15,12/31/2007,"11,852,212","417,008","160,347",-,-,"160,347",-,-,-,"256,661","256,661",-,-,"15,941",-,-,-,"1,887,136","1,887,136",-,-,-,"8,750,921","8,839,328",-,-,-,-,"8,839,328","88,407",-,"151,664","151,664","151,664",-,"64,943",-,-,-,-,-,-,-,"335,366",-,-,-,"229,233","10,680,389","7,278,914","5,847,184","5,847,184","1,431,730","1,224,230",-,-,"101,073","101,073","101,073",-,-,-,-,-,-,-,"2,060,231","2,060,231",-,-,-,"15,941","1,171,823","1,171,823",70,-,70,"657,183","652,297","98,925","-38,802",-,"3,232,054",-,"1,171,823",-,"836,457","3,232,054","836,457","2,060,231","1,899,884","63,137","63,137",-,-
16,12/31/2006,"10,823,711","287,858","192,559",-,-,"192,559",-,-,-,"95,299","95,299",-,-,"8,134",-,-,-,"1,747,080","1,747,080",-,-,-,"8,182,172","8,260,373",-,-,-,-,"8,260,373","78,201",-,"121,264","121,264","121,264",-,"43,922",-,-,-,-,-,-,-,"244,259",-,-,-,"189,022","9,804,321","7,235,042","5,881,308","5,881,308","1,353,734","1,126,000",-,-,"102,877","102,877","102,877",-,-,-,-,-,-,-,"1,332,268","1,332,268",-,-,-,"8,134","1,019,390","1,019,390",66,-,66,"525,247","544,469","40,305","-10,087",-,"2,351,658",-,"1,019,390",-,"775,131","2,351,658","775,131","1,332,268","1,139,709","61,431","61,431",-,-
17,12/31/2005,"8,278,256","259,184","151,192",-,-,"151,192",-,-,-,"107,992","107,992",-,-,"6,074",-,-,-,"869,837","869,837",-,-,-,"6,724,320","6,792,955",-,-,-,-,"6,792,955","68,635",-,"82,073","82,073","82,073",-,"38,579",-,-,-,-,-,-,-,"143,254",-,-,-,"154,935","7,544,118","6,258,587","4,926,595","4,926,595","1,331,992","416,500",-,-,"83,347","83,347","83,347",-,-,"626,515","626,515",-,"626,515",-,"153,095","153,095",-,-,-,"6,074","734,138","734,138",61,-,61,"393,846","389,004","37,905","-10,868",-,"887,233",-,"734,138",-,"590,884","1,513,748","590,884","779,610","628,418","56,519","56,519",-,-
18,12/31/2004,"6,028,880","147,580","93,175",-,"93,075",100,-,-,-,"54,405","54,405",-,-,"13,277",-,-,-,"534,452","534,452",-,-,-,"5,080,454","5,131,338",-,-,-,-,"5,131,338","50,884",-,"57,439","57,439","57,439",-,"19,749",-,-,-,-,-,-,-,"43,702",-,-,-,"132,227","5,514,571","4,522,517","3,424,666","3,424,666","1,097,851",-,-,-,-,-,-,-,-,"648,122","648,122",-,"648,122",-,"281,175","281,175",-,-,-,"62,757","514,309","514,309",57,-,57,"296,175","260,152","36,649","-5,426",-,"795,484",-,"514,309",-,"470,607","1,443,606","470,607","929,297","836,122","52,501","52,501",-,-
19,12/31/2003,"4,055,433","159,305","142,183",-,"141,589",594,-,-,-,"17,122","17,122",-,-,"16,119",-,-,-,"445,142","445,142",-,-,-,"3,234,133","3,273,379",-,-,-,-,"3,273,379","39,246",-,"34,243","34,243","34,243",-,"24,957",-,-,-,-,-,-,-,"30,308",-,-,-,"111,226","3,693,450","3,312,667","2,389,721","2,389,721","922,946",-,-,-,-,-,-,-,-,"12,000","12,000",-,"12,000",-,"331,313","331,313",-,-,-,"37,470","361,983","361,983",27,-,27,"228,242","171,518","35,986","-1,818",-,"693,296",-,"361,983",-,"331,675","705,296","331,675","343,313","201,130","48,857","48,857",-,-
20,12/31/2002,"3,321,489","304,589","295,272",-,-,"295,272",-,-,-,"9,317","9,317",-,-,-,-,-,-,"531,607","531,607",-,-,-,"2,313,199","2,348,491",-,-,-,-,"2,348,491","35,292",-,"91,733","91,733","91,733",-,"23,941",-,-,-,-,-,-,-,-,-,-,-,"56,420","3,019,372","2,926,352","2,184,461","2,184,461","741,891","34,000",-,-,"2,100","2,100",-,-,-,-,-,-,-,-,"56,920","20,750",-,"36,170",-,-,"302,117","302,117",27,-,27,"178,873","155,904","35,955","3,268",-,"322,867",-,"302,117","36,170","302,117","322,867","302,117","56,920",-,"47,737","47,737",-,-
21,12/31/2001,"2,825,303","233,318","224,334",-,-,"224,334",-,-,-,"8,984","8,984",-,-,-,-,-,-,"323,099","323,099",-,-,-,"2,132,838","2,160,395",-,-,-,-,"2,160,395","27,557",-,"53,795","53,795","53,795",-,"27,568",-,-,-,-,-,-,-,-,-,-,-,"54,685","2,580,888","2,417,974","1,888,609","1,888,609","529,365","104,000",-,-,"1,469","1,469",-,-,-,-,-,-,-,-,"20,750","20,750",-,-,-,"36,695","244,415","244,415",26,-,26,"135,765","145,312","35,945",-743,-,"265,165",-,"244,415",-,"244,415","265,165","244,415","20,750",-,"46,752","46,752",-,-
22,12/31/2000,"2,485,971","77,893","63,048",-,-,"63,048",-,-,-,"14,845","14,845",-,-,-,-,-,-,"488,290","488,290",-,-,-,"1,789,988","1,813,836",-,-,-,-,"1,813,836","23,848",-,"47,993","47,993","47,993",-,"26,630",-,-,-,-,-,-,-,"16,497",-,-,-,"38,680","2,299,822","1,948,562","1,747,106","1,747,106","201,456",-,-,-,-,-,-,-,-,"38,000","38,000",-,"38,000",-,"288,750","288,750",-,-,-,"24,510","186,149","186,149",25,-,25,"99,764","118,039","23,060","-8,619",-,"474,899",-,"186,149",-,"169,652","512,899","169,652","326,750","263,702","45,321","45,321",-,-
23,12/31/1999,"2,152,600","70,500","43,500",-,-,"43,500",-,-,-,"27,000","27,000",-,-,-,-,-,-,"496,400","496,400",-,-,-,"1,486,600","1,507,400",-,-,-,-,"1,507,400","20,800",-,"30,500","30,500","30,500",-,"22,600",-,-,-,-,-,-,-,"6,800",-,-,-,"39,200","2,002,500","1,500,500","1,371,900","1,371,900","128,600",-,-,-,-,-,-,-,-,"468,600","468,600",-,"468,600",-,"15,500","15,500",-,-,-,"17,900","150,100","150,100",-,-,-,"67,000","111,300","14,700","-13,600",100,"165,600",-,"150,100",-,"143,300","634,200","143,300","484,100","440,600","44,846","44,846",-,-
24,12/31/1998,"2,058,200","194,000","161,100",-,-,"161,100",-,-,-,"32,900","32,900",-,-,-,-,-,-,"682,400","682,400",-,-,-,"1,100,600","1,117,100",-,-,-,-,"1,117,100","16,500",-,"28,300","28,300","28,300",-,"23,400",-,-,-,-,-,-,-,"3,600",-,-,-,"25,900","1,907,400","1,292,900","1,292,900","1,292,900",-,"33,000",-,-,-,-,-,-,-,"291,000","291,000",-,"291,000",-,"273,800","273,800",-,-,-,"16,700","150,800","150,800",-,-,-,"41,700",-,-,-900,"110,000","424,600",-,"150,800",-,"147,200","715,600","147,200","564,800","403,700","47,550","47,550",-,-
