,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Restricted Cash And Investments,Restricted Investments,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Federal Home Loan Bank Stock,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Other Short Term Investments,Long Term Equity Investment,Net Loan,Gross Loan,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Prepaid Assets,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Construction in Progress,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Gains Losses Not Affecting Retained Earnings,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number
0,12/31/2022,"1,968,346","434,869","415,803","415,803",-,-,"5,236","5,236","13,830","13,830","13,830",-,-,-,"30,218","530,428","2,990","527,438","14,582","905,035","915,758","82,506",375,"811,826","21,051","9,468","-1,255","7,930","7,930",-,"1,537","23,055","34,071","5,195","10,790","4,735",239,"5,357","7,755","-11,016","3,558",-,-,"17,134","17,134","1,968,346","1,841,719","1,814,297","611,976","611,976","1,202,321",-,"27,423","27,423","27,423",-,-,-,-,-,-,-,-,"27,422","126,627","126,627","25,435",-,"25,435","126,728","5,190","-30,727",-,-,"126,627",-,"126,627",-,"126,627",-,-,"8,258","8,258",-
1,12/31/2021,"1,964,599","783,760","735,332",-,-,"735,332","5,493","5,493","42,935","42,935","42,935",-,-,-,"29,469","266,280","3,391","262,889","4,359","847,847","860,037","109,554",416,"717,567","32,500","10,738","-1,452","4,058","4,058",-,973,"21,956","31,668","5,195","10,557","3,949",209,"5,224","6,534","-9,712","3,647",-,-,"2,129","2,129","1,964,599","1,821,987","1,806,966","596,813","596,813","1,210,153",-,"14,900","14,900","14,900",-,-,-,-,-,-,-,-,"15,021","142,612","142,612","25,435",-,"25,435","106,300","4,689","6,188",-,-,"142,612",-,"142,612",-,"142,612",-,-,"8,239","8,239",-
2,12/31/2020,"1,511,478","231,413","193,571",-,-,"193,571","4,757","4,757","33,085","33,085","33,085",-,-,-,"25,325","220,589","3,425","217,164","4,688","997,246","1,013,115","292,006",636,"692,218","28,255","11,297","-4,572","5,689","5,689",-,"1,070","20,355","35,096","5,195","10,601","9,007",518,"5,190","4,585","-14,741","3,740",-,-,"1,363","1,363","1,511,478","1,381,784","1,367,809","459,896","459,896","907,913",-,"13,975","13,975","13,975",-,-,-,-,-,-,-,-,"13,975","129,694","129,694","25,435",-,"25,435","92,349","4,216","7,694",-,-,"129,694",-,"129,694",-,"129,694",-,-,"8,219","8,219",-
3,12/31/2019,"1,147,785","147,594","133,809","133,809",-,-,-,-,"13,785","13,785","13,785","4,761",-,-,"24,631","193,385","3,297","190,088","5,120","741,047","750,985","77,704","1,274","643,649","28,358","9,146",-792,"3,457","3,457",-,"1,305","19,541","34,219","5,195","10,013","8,707",928,"5,064","4,312","-14,678","3,837",-,-,"3,107","3,107","1,147,785","1,035,215","1,019,929","355,242","355,242","664,687",-,"15,286","15,286","15,286",-,-,-,-,-,-,-,-,"15,286","112,570","112,570","25,435",-,"25,435","80,961","3,777","2,397",-,-,"112,570",-,"112,570",-,"112,570",-,-,"8,210","8,210",-
4,12/31/2018,"1,094,929","126,145","116,425","116,425",-,-,-,-,"9,720","9,720","9,720","4,357",0,0,"19,028","209,818","3,106","206,712","5,476","702,220","711,902","82,252","1,314","590,260","38,076","8,685",-997,"3,755","3,755",-,"1,142","14,937","28,522","5,195","9,962","8,279",47,"5,039",-,"-13,585","3,942",-,-,"4,067","4,067",-,"995,891","986,495","391,993","391,993","594,502",-,"9,354","9,354","9,354",-,-,-,-,-,-,-,-,"9,396","99,038","99,038","25,429",-,"25,429","70,686","3,358",-435,-,-,"99,038",-,"99,038",-,"99,038",-,-,"8,195","8,195",-
5,12/31/2017,"1,034,852","149,173","142,968","142,968",-,-,-,-,"6,205","6,205","6,205","4,135",253,253,"18,517","182,360",-,"182,360",266,"652,989","662,544","69,610",689,"554,311","37,934","8,166","-1,389","3,171","3,171",-,"2,812","14,478","27,337","4,645","8,809","7,628","1,948","4,307",-,"-12,859","4,056","3,313",743,"2,642","2,642","1,034,852","944,085","938,882","399,499","399,499","539,383",-,"5,203","5,203","5,203",-,-,-,-,-,-,-,-,"5,203","90,767","90,767","24,773",-,"24,773","61,429","3,576",989,-,-,"90,767",-,"90,767",-,"90,767",-,-,"8,099","8,099",-
6,12/31/2016,"1,001,423","190,810","179,025","179,025",-,-,-,-,"11,785","11,785","11,785","3,795","1,210","1,210","18,004","160,333",-,"160,333",328,"601,104","610,949","64,201",767,"517,527","28,454","7,832","-2,013","2,831","2,831",-,"1,093","13,688","25,596","4,755","9,064","7,470",-,"4,307",-,"-11,908","4,185","3,313",872,"4,729","4,729","1,001,423","918,973","914,093","578,010","578,010","336,083",-,"5,567","5,567","5,567",-,-,-,-,-,-,-,-,"4,880","82,450","82,450","24,682",-,"24,682","54,520","3,473",-225,-,-,"82,450",-,"82,450",-,"82,450",-,-,"8,088","8,088",-
7,12/31/2015,"897,038","190,603","174,778","174,778",-,-,-,-,"15,825","15,825","15,825","3,716","2,066","2,066","13,747","131,546",-,"131,546",388,"530,394","541,032","63,776",774,"455,635","20,847","7,356","-3,282","2,420","2,420",-,749,"14,277","24,961","4,755","8,939","7,132",-,"4,135",-,"-10,684","1,693",662,"1,031","5,439","5,439","897,038","818,775","814,679","535,324","535,324","279,367",-,"4,084","4,084","4,084",-,-,-,-,-,-,-,-,"4,096","78,263","78,263","24,682",-,"24,682","48,795","3,217","1,569",-,-,"78,263",-,"78,263",-,"78,263",-,-,"8,078","8,078",-
8,12/31/2014,"749,477","144,288","132,078","132,078",-,-,-,-,"12,210","12,210","12,210","3,275",884,884,"13,545","121,277",-,"121,277",455,"446,492","454,471","54,051",805,"383,862","15,753","7,534",-445,"2,024","2,024",-,"2,016","14,066","23,573","4,755","8,667","6,479",-,"3,672",-,"-9,507",-,-,-,"2,614","2,614","749,477","674,486","669,581","443,624","443,624","225,957",-,"5,043","5,043","5,043",-,-,-,-,-,-,-,-,"4,905","74,991","74,991","24,682",-,"24,682","45,582","2,910","1,867",-,-,"74,991",-,"74,991",-,"74,991",-,-,"8,075","8,075",-
9,12/31/2013,"672,060","105,191","100,096","100,096",-,-,-,-,"5,095","5,095","5,095","3,170",916.205,916.205,"12,083","117,746",-,"117,746",515.456,"411,156","419,438","48,787",882.667,"358,497","11,272","7,659",-623.67,"2,011","2,011",-,"1,114","13,684","22,035","4,755","8,094","6,040",-,"3,145",-,"-8,351",-,-,-,"4,266","4,266","672,060","606,750","602,633","415,057","415,057","187,577",-,"4,702","4,702","4,702",-,-,-,-,-,-,-,-,"4,117","65,310","65,310","23,758",0,"23,758","38,984","2,537",-762.947,-,-,"65,310",-,"65,310",-,"65,310",-,-,"7,930","7,930",-
10,12/31/2012,"660,480","141,335","130,800","130,800",-,-,-,-,"10,535","10,535","10,535","3,130",0,0,"11,680","103,866",-,"103,866",575.09,"382,411","390,986","36,529","1,096","341,734","11,628","7,975",-599.851,"1,654","1,654",-,"1,077","13,182","22,891","4,699","5,871","8,082",-,"4,239",-,"-9,708",-,-,-,"1,670","1,670","660,480","597,261","586,993","411,404","411,404","175,588",-,"3,619","3,619","3,619",-,-,-,-,-,-,-,-,"10,268","63,219","63,219","30,423","6,750","23,673","33,959","2,342","3,245",-,"6,750","63,219",-,"63,219",-,"63,219",-,-,"7,908","7,908",6.75
11,12/31/2011,"612,172","101,085","73,190",-,-,"73,190",-,-,"27,895","27,895","27,895",-,-,244.375,-,"89,695","89,695",-,-,"386,958","396,202","330,877","25,084",-,"40,241","8,609",-634.433,"20,690","20,690","20,690",-,"13,499","22,154",-,"5,357","8,105",-,"3,993","4,699","-8,655",-,-,-,-,-,-,"541,770","536,204","406,061","406,061","130,143",-,"2,566","2,566","2,566",-,-,-,-,"3,000","3,000","3,000",-,-,"70,402","70,402","13,500","13,500",-,"28,630","25,582","2,690","73,402","13,500","56,902",-,"70,402","59,902","56,902","3,000",-,"7,718","7,718",13.5
12,12/31/2010,"552,396","68,937","28,092",-,-,"28,092",-,-,"40,845","40,845","40,845",-,-,778.174,-,"53,268","53,268",-,-,"376,231","385,219","333,634","23,086","28,498",-,"8,255",-733.012,"24,033","24,033","24,033",-,"29,149","36,807","22,999","3,595","6,577",-,"3,637",-,"-7,658",-,-,-,-,-,-,"487,739","476,739","374,317","374,317","102,422",-,"3,000",-,-,"3,000",-,-,-,"8,000","8,000","8,000",-,-,"64,658","64,658","13,014","13,014",-,"24,016","26,084","1,544","72,658","13,014","51,644",-,"64,658","59,644","51,644","8,000",-,"7,702","7,702",13.5
13,12/31/2009,"524,722","21,649","20,004",-,-,"20,004",-,-,"1,645","1,645","1,645",-,-,"2,150",-,"50,765","50,765",-,-,"425,627","425,627","321,547","21,468",-,"82,612","7,020",-811.103,"22,195","22,195","22,195",-,"10,167","16,866",-,"3,215","6,022",-,"3,604","4,024","-6,698",-,-,-,-,-,"99,095","477,530","429,210","359,563","359,563","69,647",-,"2,619",-,-,"2,619",-,-,-,"32,200","32,200","32,200",-,"48,320","47,192","47,192","12,847","12,847",-,"20,231","25,931","1,683","92,892","12,847","47,192",-,"47,192","80,045","47,192","32,200","12,196","7,682","7,682",13.5
14,12/31/2008,"508,203","14,392","9,073",-,-,"9,073",-,-,"5,319","5,319",-,-,-,-,-,"42,294","42,294",-,-,"421,573","427,142",-,-,-,"427,142","5,569",-,"1,886","1,886","1,886",-,"11,094",-,-,-,-,-,-,-,-,-,-,-,-,-,"16,963","450,217","378,248","313,972","313,972","64,277",-,"2,968","2,968","2,968",-,-,-,-,"69,000","69,000",-,-,-,"57,986","57,986","12,681","12,681",-,"19,227","25,789",290.23,"126,986","12,681","45,305",-,"57,986","114,305","45,305","69,000","59,927","7,662","7,662",13.5
15,12/31/2007,"454,403","14,203","14,203",-,"3,805","10,398",-,-,-,-,-,-,-,-,-,"33,373","33,373",-,-,"382,264","382,264",-,-,-,-,-,-,-,-,-,-,"10,109",-,-,-,-,-,-,-,-,-,-,-,-,-,"14,455","411,763","377,348",-,-,-,-,"3,416",-,-,"3,416",-,-,-,"62,000","31,000","31,000","31,000","-31,000","42,640","42,640","22,843",0,"22,843","18,002","1,748",46.193,"73,640",-,"42,640","31,000","42,640","73,640","42,640","62,000","16,797","7,608","7,608",-
16,12/31/2006,"455,213","27,819","25,179",-,-,"25,179",-,-,"2,640","2,640",-,-,-,-,-,"36,249","36,249",-,-,"372,819","378,393",-,-,-,"378,393","4,341","-1,233","12,813","12,813","12,813",-,"5,513",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"420,789","378,530","378,530","378,530",-,-,"8,659","8,659","8,659",-,-,-,-,"33,600","33,600",-,-,-,"34,424","34,424",-,-,-,"15,479","19,150",-204.772,"68,024",-,"34,424",-,"34,424","68,024","34,424","33,600","8,421",-,-,-
17,12/31/2005,"382,122","20,501","20,501",-,-,"20,501",-,-,-,-,-,-,-,-,-,"33,049","33,049",-,-,"312,787","318,108",-,-,-,"318,108","3,976","-1,345","11,915","11,915","11,915",-,"3,870",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"351,084","329,080","329,080","329,080",-,-,"3,005","3,005","3,005",-,"7,500","7,500","7,500","11,500","11,500",-,-,-,"31,038","31,038","17,199",-,"17,199","12,997","1,213",-370.769,"42,538",-,"31,038",-,"31,038","50,038","31,038","19,000",-,-,-,-
18,12/31/2004,"313,063","12,298","7,298",-,-,"7,298",-,-,"5,000","5,000",-,-,-,-,-,"33,284","33,284",-,-,"254,035","258,495",-,-,-,"258,495","3,272","-1,188","10,364","10,364","10,364",-,"3,082",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"284,818","249,043","249,043","249,043",-,"16,500","1,275","1,275","1,275",-,"8,500","8,500","8,500","9,500","9,500",-,-,-,"28,245","28,245","16,874",-,"16,874","10,228","1,077",66.818,"37,745",-,"28,245",-,"28,245","46,245","28,245","18,000","10,702",-,-,-
19,12/31/2003,"240,498","16,630","12,630",-,"11,630","1,000",-,-,"4,000","4,000",-,-,-,-,-,"28,690","28,690",-,-,"184,319","187,548",-,-,-,"187,548","2,338",-890.892,"8,100","8,100","8,100",-,"2,759",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"222,500","199,629","199,629","199,629",-,-,870.636,870.636,870.636,-,"22,000","22,000","22,000",-,-,-,-,-,"17,998","17,998","8,828",-,"8,828","7,864","1,024",281.439,-,-,"17,998",-,"17,998","39,998","17,998","22,000","9,370",-,-,-
20,12/31/2002,"193,351","9,635","9,635",-,"8,435","1,200",-,-,-,-,-,-,-,-,-,"32,965","32,965",-,-,"141,598","143,850",-,-,-,"143,850","1,680",-571.749,"6,889","6,889","6,889",-,"2,264",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"176,976","164,724","164,724","164,724",-,-,751.616,751.616,751.616,-,"11,500","11,500","11,500",-,-,-,-,-,"16,375","16,375","8,694",-,"8,694","6,237",966.514,478.139,-,-,"16,375",-,"16,375","27,875","16,375","11,500","1,865","7,608","7,608",-
21,12/31/2001,"157,963","13,312","13,312",-,"12,712",600,-,-,-,-,-,-,-,-,-,"27,111","27,111",-,-,"109,939","111,711",-,-,-,"111,711","1,368",-403.722,"5,346","5,346","5,346",-,"2,254",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"143,397","128,207",-,0,"128,207",-,-,-,-,-,"14,500","14,500","14,500",-,-,-,-,689.995,"14,566","14,566","8,525",-,"8,525","5,059",966.514,15.625,-,-,"14,566",-,"14,566","29,066","14,566","14,500","1,188","7,608","7,608",-
