,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Investment Securities,Earnings Losses from Equity Investments,Depreciation Amortization Depletion,Depreciation & amortization,Deferred Tax,Deferred Income Tax,Other non-cash items,Asset Impairment Charge,Excess Tax Benefit from Stock Based Compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Payables And Accrued Expense,Change in Accrued Expense,Change in Loans,Change in Other Current Assets,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Proceeds Payment in Interest Bearing Deposits in Bank,Decrease in Interest Bearing Depositsin Bank,Increase in Interest Bearing Depositsin Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Change in Federal Funds And Securities Sold for Repurchase,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
25,12/31/2016,"1,340,000","1,340,000","1,047,000","-85,000",-,-,"-105,000","276,000","276,000","497,000","497,000","511,000",-,-,"67,000","-973,000","-1,545,000","-1,545,000","-445,000","1,155,000","-138,000","162,000","162,000","-525,000","1,348,000",-,-,"633,000","-4,880,000","5,513,000","-501,000","359,000","-860,000",-,-,-,-,"-793,000","-1,154,000","-1,154,000","560,000","1,245,000","1,245,000","3,040,000","-1,795,000",0,"309,000",0,"-415,000","88,000","-503,000",-,-,-,"-311,000","-270,000","-41,000",-,-,"4,879,000","348,000","4,531,000",-,"197,000","337,000",-,"607,000","3,040,000","-1,795,000","-503,000","1,340,000"
26,9/30/2016,"1,534,000","1,534,000","1,006,000","-115,000",-,"-7,000","-108,000","356,000","356,000","-103,000","-103,000","-158,000",-,-,"87,000","461,000","18,000","18,000","238,000","369,000","-164,000","-7,515,000","-7,515,000","758,000","-309,000",-,-,"-6,168,000","-10,151,000","3,983,000","-1,588,000","663,000","-2,251,000",-,-,-,-,"-208,000","6,316,000","6,316,000","-385,000","-2,589,000","-2,589,000","447,000","-3,036,000",0,"-529,000",0,"-471,000","34,000","-505,000",-,-,-,"-338,000","-275,000","-63,000",-,-,"4,531,000","335,000","4,196,000",-,"177,000","316,000",-,"34,000","447,000","-3,036,000","-505,000","1,534,000"
27,6/30/2016,"485,000","485,000","989,000","-173,000",-,"-4,000","-87,000","291,000","291,000","-19,000","-19,000","-107,000",-,-,"127,000","-623,000","1,095,000","1,095,000","-779,000","-1,020,000","81,000","819,000","819,000","-353,000","2,729,000",-,-,"279,000","-4,641,000","4,920,000","-1,766,000","504,000","-2,270,000",-,-,-,-,"-70,000","-969,000","-969,000","-875,000","1,227,000","1,228,000","2,328,000","-1,100,000","-1,000","449,000","-1,000","-492,000","11,000","-503,000",-,-,-,"-297,000","-256,000","-41,000",-,-,"4,196,000","335,000","3,861,000",-,"265,000","319,000",-,"11,000","2,328,000","-1,101,000","-503,000","485,000"
28,3/31/2016,"276,000","276,000","943,000","-114,000",-,"-9,000","-61,000","270,000","270,000","-49,000","-49,000","-146,000",-,-,"152,000","-780,000","1,084,000","1,084,000","51,000","-969,000","-946,000","-908,000","-908,000","246,000","1,067,000",-,-,"-818,000","-4,128,000","3,310,000","-1,522,000","371,000","-1,893,000",-,-,-,-,"119,000","428,000","428,000","718,000","-1,197,000","-1,184,000","1,223,000","-2,407,000","-13,000","208,000","-13,000","-533,000","18,000","-551,000",-,-,-,"-324,000","-260,000","-64,000",-,-,"3,861,000","-204,000","4,065,000",-,"19,000","345,000",-,"18,000","1,223,000","-2,420,000","-551,000","276,000"
29,12/31/2015,"1,896,000","1,896,000","1,022,000","-164,000",-,"-2,000","-115,000","286,000","286,000","276,000","276,000","-11,000",-,"4,000","74,000","409,000","-4,068,000","-4,068,000","479,000","3,960,000","38,000","-2,726,000","-2,726,000","164,000","3,678,000",-,-,"-4,202,000","-9,982,000","5,780,000","-2,227,000","427,000","-2,654,000",-,-,-,-,"-139,000","1,060,000","1,060,000","-300,000","-1,611,000","-500,000","1,640,000","-2,140,000","-1,111,000",0,"-1,111,000","-545,000","9,000","-554,000",0,-,0,"-300,000","-259,000","-41,000","-4,000",-,"4,065,000","230,000","3,835,000",-,"392,000","241,000",-,"9,000","1,640,000","-3,251,000","-554,000","1,896,000"
30,9/30/2015,"1,971,000","1,971,000","1,073,000","-130,000",-,"9,000","-96,000","272,000","272,000","19,000","19,000","-113,000",-,"-6,000","81,000","775,000","2,466,000","2,466,000","305,000","-2,183,000","187,000","-5,051,000","-5,051,000","436,000","-255,000",-,-,"-5,020,000","-8,526,000","3,506,000","-39,000","655,000","-694,000",-,-,-,-,"-173,000","2,503,000","2,503,000","-113,000","-1,775,000","56,000","1,105,000","-1,049,000","-1,831,000","159,000","-1,990,000","-557,000","21,000","-578,000",0,-,0,"-326,000","-263,000","-63,000","6,000",-,"3,835,000","-577,000","4,412,000",-,"336,000","261,000",-,"21,000","1,264,000","-3,039,000","-578,000","1,971,000"
31,6/30/2015,"1,387,000","1,387,000","1,044,000","-188,000",-,"-8,000","-100,000","278,000","278,000","69,000","69,000","-78,000",-,"-9,000","46,000","225,000","-1,230,000","-1,230,000","-123,000","1,371,000","207,000","-4,597,000","-4,597,000","-78,000","-2,771,000",-,-,"-1,231,000","-4,585,000","3,354,000","-388,000","569,000","-957,000",-,-,-,-,"-129,000","3,471,000","3,471,000","-12,000","1,597,000","3,040,000","3,859,000","-819,000","-1,443,000","22,000","-1,465,000","-508,000","49,000","-557,000",-,-,-,"-312,000","-265,000","-47,000","9,000",-,"4,412,000","261,000","4,151,000",-,"163,000","252,000",-,"49,000","3,881,000","-2,284,000","-1,057,000","1,387,000"
32,3/31/2015,"242,000","242,000","1,004,000","-137,000",-,"-42,000","-96,000","252,000","252,000","40,000","40,000","-194,000",-,"-18,000","54,000","-759,000","1,044,000","1,044,000","-268,000","-1,306,000","-229,000","-3,886,000","-3,886,000","-41,000","581,000",-,-,"-4,135,000","-8,170,000","4,035,000","-26,000","389,000","-415,000",-,-,-,-,"-265,000","3,435,000","3,435,000","-1,308,000","1,155,000","1,751,000","4,660,000","-2,909,000","-596,000","1,213,000","-1,809,000","-403,000","60,000","-463,000",-,-,-,"-319,000","-251,000","-68,000","18,000",-,"4,151,000","-209,000","4,360,000",-,"28,000","251,000",-,"60,000","5,873,000","-4,718,000","-463,000","242,000"
33,12/31/2014,"977,000","977,000","1,057,000","-136,000",-,0,"-107,000","264,000","264,000","205,000","205,000","-269,000",-,"-5,000","52,000","-191,000","-163,000","-163,000","-185,000","28,000","129,000","-10,346,000","-10,346,000","-91,000","-5,531,000",-,-,"-659,000","-3,432,000","2,773,000","-4,143,000","1,004,000","-5,147,000",-,-,-,-,"140,000","9,565,000","9,565,000","11,000","4,418,000","4,232,000","7,255,000","-3,023,000","186,000","2,328,000","-2,142,000","-494,000","49,000","-543,000",-,-,-,"-299,000","-252,000","-47,000","5,000",-,"4,360,000","196,000","4,164,000",-,"413,000","236,000",-,"49,000","9,583,000","-5,165,000","-543,000","977,000"
34,9/30/2014,"1,110,000","1,110,000","1,038,000","-197,000",-,0,"-141,000","248,000","248,000","-54,000","-54,000","-102,000",-,"13,000","55,000","109,000","-49,000","-49,000","-121,000","490,000","-211,000","-8,265,000","-8,265,000","-237,000","-9,371,000",-,-,"1,327,000","-1,449,000","2,776,000","27,000","571,000","-544,000",-,-,-,-,"-11,000","6,427,000","6,427,000","367,000","2,981,000","3,171,000","4,225,000","-1,054,000","-190,000","2,205,000","-2,395,000","-318,000","24,000","-342,000",-,-,-,"-327,000","-257,000","-70,000","-13,000",-,"4,164,000","-728,000","4,892,000",-,-,-,-,"24,000","6,430,000","-3,449,000","-342,000","1,110,000"
35,6/30/2014,"1,550,000","1,550,000","1,052,000","-139,000",-,"6,000","-92,000","240,000","240,000","87,000","87,000","-122,000",-,"-20,000","72,000","380,000","25,000","25,000","-87,000","219,000","223,000","-3,297,000","-3,297,000","-383,000","-2,000,000",-,-,"2,346,000","-1,918,000","4,264,000","-3,074,000","598,000","-3,672,000",-,-,-,-,"-186,000","1,916,000","1,916,000","-101,000","2,286,000","2,210,000","6,465,000","-4,255,000","76,000","1,131,000","-1,055,000","-197,000","53,000","-250,000",-,-,-,"-303,000","-256,000","-47,000","20,000",-,"4,892,000","169,000","4,723,000",-,-,-,-,"53,000","7,596,000","-5,310,000","-250,000","1,550,000"
36,3/31/2014,"1,920,000","1,920,000","1,060,000","-171,000",-,"-10,000","-101,000","236,000","236,000","17,000","17,000","-29,000",-,"-16,000","94,000","729,000","356,000","356,000","-12,000","-231,000","616,000","-2,985,000","-2,985,000","842,000","-2,741,000",-,-,"1,831,000","-1,690,000","3,521,000","-2,837,000","697,000","-3,534,000",-,-,-,-,"-80,000","1,745,000","1,745,000","-1,055,000","1,562,000","1,636,000","5,452,000","-3,816,000","-74,000","3,133,000","-3,207,000","85,000","126,000","-41,000",-,-,-,"-303,000","-235,000","-68,000","16,000",-,"4,723,000","680,000","4,043,000",-,"20,000","205,000",-,"126,000","8,585,000","-7,023,000","-41,000","1,920,000"
37,12/31/2013,"-341,000","-341,000","1,061,000","-114,000",-,"-3,000","-111,000","263,000","263,000","209,000","209,000","-95,000",-,0,"113,000","-1,778,000","-1,391,000","-1,391,000","-212,000","1,263,000","-1,438,000","-11,106,000","-11,106,000","-1,076,000","-4,087,000",-,-,"-2,738,000","-6,084,000","3,346,000","-2,952,000","897,000","-3,849,000",-,-,-,-,"-253,000","10,582,000","10,582,000","1,125,000","4,830,000","6,827,000","9,825,000","-2,998,000","-1,997,000","6,056,000","-8,053,000","48,000","49,000","-1,000",0,0,0,"-283,000","-234,000","-49,000",0,-,"4,043,000","-865,000","4,908,000",-,"6,000","193,000",-,"49,000","15,881,000","-11,051,000","-1,000","-341,000"
38,9/30/2013,"4,100,000","4,100,000","1,039,000","-193,000",-,"-21,000","-89,000","300,000","300,000","194,000","194,000","1,000",-,"-5,000","137,000","2,627,000","-1,317,000","-1,317,000","873,000","2,551,000","520,000","-7,186,000","-7,186,000","701,000","-4,251,000",-,-,"-667,000","-7,209,000","6,542,000","-3,045,000","774,000","-3,819,000",-,-,-,-,"76,000","3,943,000","3,943,000","-1,138,000","1,556,000","962,000","5,015,000","-4,053,000","594,000","3,465,000","-2,871,000","64,000","64,000",0,0,0,0,"-303,000","-233,000","-70,000","5,000",-,"4,908,000","857,000","4,051,000",-,"14,000","258,000",-,"64,000","8,480,000","-6,924,000",0,"4,100,000"
39,6/30/2013,"780,000","780,000","1,123,000","-240,000",-,"-61,000","-100,000","300,000","300,000","538,000","538,000","-20,000",-,-,"157,000","-1,060,000","-441,000","-441,000","-824,000","-146,000","351,000","-4,023,000","-4,023,000","-342,000","-2,256,000",-,-,"1,626,000","-4,053,000","5,679,000","-3,224,000","537,000","-3,761,000",-,-,-,-,"173,000","3,346,000","3,346,000","304,000","2,178,000","2,731,000","6,660,000","-3,929,000","-553,000","702,000","-1,255,000","101,000","102,000","-1,000",-,-,-,"-285,000","-234,000","-51,000","18,000",-,"4,051,000","103,000","3,948,000",-,"182,000","207,000",-,"598,000","7,362,000","-5,184,000","-151,000","780,000"
40,3/31/2013,"1,016,000","1,016,000","1,004,000","-77,000",-,"-14,000","-73,000","283,000","283,000","266,000","266,000","-50,000",-,-,"236,000","-646,000","-852,000","-852,000","69,000","25,000","112,000","3,380,000","3,380,000","187,000","2,443,000",-,-,"1,602,000","-2,956,000","4,558,000","-985,000","351,000","-1,336,000",-,-,-,-,"133,000","-5,668,000","-5,668,000","674,000","-4,196,000","-2,696,000","1,775,000","-4,471,000","-1,500,000","2,372,000","-3,872,000","7,000","29,000","-22,000",-,-,-,"-277,000","-210,000","-67,000","-375,000",-,"3,948,000","-1,272,000","5,220,000",-,"32,000","233,000",-,"29,000","4,147,000","-8,343,000","-22,000","1,016,000"
41,12/31/2012,"1,201,000","1,201,000","719,000","-146,000",-,"-45,000","-82,000","298,000","298,000","90,000","90,000","-506,000","-51,000",-,"318,000","462,000","-1,263,000","-1,263,000","-1,127,000","1,238,000","1,614,000","-5,628,000","-5,628,000","258,000","-1,663,000",-,-,"907,000","-3,291,000","4,198,000","-4,361,000","10,300,000","-14,661,000",-,"-836,000",-,-,"67,000","5,363,000","5,363,000","-549,000","-1,599,000","289,000","14,280,000","-13,991,000","-1,888,000","2,885,000","-4,773,000","-45,000","11,000","-56,000","529,000","529,000",-,"-264,000","-212,000","-52,000","-517,000",-,"5,220,000","936,000","4,284,000",-,"-10,000","265,000",-,"540,000","17,165,000","-18,764,000","-56,000","1,201,000"
42,9/30/2012,"1,812,000","1,812,000","925,000","-265,000",-,"-40,000","-88,000","307,000","307,000","68,000","68,000","301,000","24,000","-2,000","228,000","226,000","555,000","555,000","523,000","-588,000",-,"-392,000","-392,000","-79,000","1,674,000",-,-,"-49,000","-5,148,000","5,099,000","-2,050,000","-1,254,000","-796,000",-,0,-,-,"112,000","-1,272,000","-1,272,000","-289,000","-404,000","-2,756,000","-15,935,000","13,179,000","2,352,000",-,-,"-74,000","35,000","-109,000","438,000","438,000",-,"-274,000","-212,000","-62,000","2,000",-,"4,284,000","148,000","4,136,000",-,"18,000","310,000",-,"473,000","2,422,000","892,000","-109,000","1,812,000"
43,6/30/2012,"1,050,000","1,050,000","546,000","-126,000",-,"-62,000","-64,000","285,000","285,000","231,000","231,000","247,000","34,000","-3,000","256,000","-420,000","66,000","66,000","-1,014,000","528,000",-,"-4,133,000","-4,133,000","-277,000","-1,911,000",-,-,"2,852,000","-3,256,000","6,108,000","-4,762,000","-4,478,000","-284,000",-,"35,000",-,-,"-70,000","3,057,000","3,057,000","-664,000","1,652,000","-971,000","8,328,000","-9,299,000","2,623,000",-,-,"16,000","42,000","-26,000",-,-,-,"-236,000","-211,000","-25,000","3,000",-,"4,136,000","-26,000","4,162,000",-,"20,000","295,000",-,"1,524,000","8,328,000","-9,299,000","-26,000","1,050,000"
44,3/31/2012,"2,764,000","2,764,000","811,000","-125,000",-,"-57,000","-68,000","269,000","269,000","181,000","181,000","-55,000","38,000","-12,000","185,000","1,472,000","-55,000","-55,000","493,000","1,034,000",-,"-7,108,000","-7,108,000","830,000","-626,000",-,-,"-626,000","-6,948,000","6,322,000","-3,345,000","-2,957,000","-388,000",-,"-3,329,000",-,-,"-12,000","4,401,000","4,401,000","1,500,000","2,957,000","1,862,000","10,426,000","-8,564,000","1,095,000",-,-,"45,000","70,000","-25,000",-,-,-,"-223,000","-185,000","-38,000","12,000",-,"4,162,000","57,000","4,105,000",-,"11,000","338,000",-,"70,000","10,426,000","-8,564,000","-25,000","2,764,000"
45,12/31/2011,"1,450,000","1,450,000","493,000","44,000",-,"-62,000","-46,000","290,000","290,000","680,000","680,000",-,"44,000",-,"190,000","-9,000","-180,000","-180,000","-525,000","735,000","-39,000","-2,823,000","-2,823,000","-405,000","1,603,000",-,-,"976,000","-5,082,000","6,058,000","-5,050,000","6,081,000","-11,131,000",-,"169,000",-,"169,000","-116,000","1,496,000","1,496,000","-119,000","1,774,000","983,000","5,438,000","-4,455,000",-,-,-,"30,000","37,000","-7,000",0,0,-,"-207,000","-183,000","-24,000",-,-,"4,105,000","123,000","3,982,000",-,"-24,000","352,000",-,"37,000","5,438,000","-3,664,000","-7,000","1,450,000"
46,9/30/2011,"880,000","880,000","834,000","-152,000",-,"-68,000","-84,000","281,000","281,000","287,000","287,000",-,"35,000",-,"261,000","-395,000","2,927,000","2,927,000","191,000","-3,882,000",-,"-6,957,000","-6,957,000","552,000","1,735,000",-,-,"-4,660,000","-9,023,000","4,363,000","-4,727,000","-3,945,000","-782,000",-,0,-,0,"143,000","6,194,000","6,194,000","-705,000","308,000","706,000","3,197,000","-2,491,000","-398,000",-,"-398,000","-3,000","11,000","-14,000","988,000",-,-,"-189,000","-185,000","-4,000",-,-,"3,982,000","117,000","3,865,000",-,"142,000","346,000",-,"999,000","3,197,000","-2,889,000","-14,000","880,000"
47,6/30/2011,"2,978,000","2,978,000","912,000","-159,000",-,"-82,000","-77,000","290,000","290,000","-173,000","-173,000","234,000","39,000",-,"280,000","1,555,000","994,000","994,000","245,000","316,000",-,"-1,882,000","-1,882,000","-116,000","-3,148,000","-3,148,000",-,"3,137,000","-5,794,000","8,931,000","-1,709,000","-1,414,000","-295,000",-,-,-,-,"-307,000","-620,000","-620,000","-264,000","274,000","-694,000","2,433,000","-3,127,000","968,000",-,"968,000","-9,000","10,000","-19,000",0,-,-,"-208,000","-184,000","-24,000",-,-,"3,865,000","476,000","3,389,000",-,"433,000","374,000",-,"10,000","2,433,000","-2,159,000","-19,000","2,978,000"
48,3/31/2011,"727,000","727,000","832,000","-92,000",-,"-37,000","-55,000","279,000","279,000","46,000","46,000","37,000","34,000",-,"421,000","-830,000","-411,000","-411,000","166,000","-585,000",-,"5,113,000","5,113,000","1,456,000","251,000","251,000",-,"2,855,000","-7,259,000","10,114,000","631,000","1,048,000","-417,000",-,-,-,-,"-80,000","-5,748,000","-5,748,000","-63,000","-4,256,000","-2,895,000","2,201,000","-5,096,000","-1,361,000",-,"-1,361,000","-19,000","14,000","-33,000",0,-,-,"-56,000","-52,000","-4,000",-,-,"3,389,000","92,000","3,297,000",-,"291,000","445,000",-,"14,000","2,201,000","-6,457,000","-33,000","727,000"
49,12/31/2010,"374,000","374,000","820,000","-18,000",-,"571,000","-115,000","306,000","306,000","328,000","328,000",-,"44,000",0,"442,000","-753,000","-2,137,000","-2,137,000","-98,000","1,072,000","410,000","-4,715,000","-4,715,000","-1,623,000","-1,196,000",-,-,"559,000","-8,425,000","8,984,000","-1,445,000","-850,000","-595,000",-,"-277,000",-,-,"-733,000","3,914,000","3,914,000","-515,000","306,000","-155,000","2,070,000","-2,225,000","461,000",-,"461,000","-12,000","20,000","-32,000",0,-,-,"-77,000","-53,000","-24,000","-1,000",-,"3,297,000","-427,000","3,724,000",-,"173,000","452,000",-,"7,599,000","2,070,000","-1,764,000","-7,611,000","374,000"
50,9/30/2010,"169,000","169,000","1,103,000","-821,000",-,"-760,000","-61,000","311,000","311,000","120,000","120,000",-,"71,000",0,"486,000","-701,000","972,000","972,000","-726,000","209,000","-1,156,000","1,168,000","1,168,000","121,000","4,429,000",-,-,"-8,907,000","-15,720,000","6,813,000","3,109,000","3,859,000","-750,000",-,"2,323,000",-,-,"93,000","-1,171,000","-1,171,000","972,000","-1,589,000","-1,188,000","1,585,000","-2,773,000","-401,000",-,"-401,000","-31,000","25,000","-56,000",0,0,-,"-57,000","-53,000","-4,000","-99,000",-,"3,724,000","166,000","3,558,000",-,"240,000","498,000",-,"25,000","1,585,000","-3,174,000","-56,000","169,000"
51,6/30/2010,"1,996,000","1,996,000","803,000","-205,000",-,"-147,000","-58,000","216,000","216,000","317,000","317,000","196,000","94,000",-,"823,000","-247,000","501,000","501,000","-112,000","-965,000","329,000","3,659,000","3,659,000","-835,000","-4,397,000",-,-,"6,673,000","-4,123,000","10,796,000","1,766,000","3,164,000","-1,398,000",-,-,-,-,"296,000","-5,660,000","-5,660,000","-1,819,000","-15,000","-1,104,000","1,452,000","-2,556,000","1,089,000",-,"1,089,000","-17,000","32,000","-49,000",0,-,-,"-78,000","-53,000","-25,000",-,-,"3,558,000","-5,000","3,563,000",-,"31,000","406,000",-,"-7,547,000","1,452,000","-1,467,000","7,530,000","1,996,000"
