,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Sale of PPE,Gain Loss On Investment Securities,Earnings Losses from Equity Investments,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Deferred Tax,Deferred Income Tax,Amortization of Securities,Asset Impairment Charge,Unrealized Gain Loss On Investment Securities,Stock based compensation,Excess Tax Benefit from Stock Based Compensation,Other non-cash items,Change in working capital,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Intangibles Purchase And Sale,Sale of Intangibles,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Dividends Received CFI,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,End Cash Position,Changes in Cash,Beginning Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"2,245,300","2,245,300","1,057,300",-,-,-,-,-,"74,600","74,600","74,600","-5,400","-5,400",-,-,-,"39,800",-,"1,102,100","-38,700",-,-,-,"-13,130,100","-13,130,100","-141,000","-141,000",-,"391,900","391,900","-50,000","-50,000",-,-,-,"-2,158,200","-3,061,000","902,800",-,-,"11,411,800","11,411,800","5,406,700","547,700","578,400","-30,700","4,859,000","157,700","157,700",0,0,0,-,"-166,200",-,-,-,"-18,500","1,043,400","527,000","516,400","197,600","452,900","-141,000","157,700","578,400","-30,700",0,"2,104,300"
1,12/31/2022,"2,245,300","2,245,300","1,057,300",-,-,-,-,-,"74,600","74,600","74,600","-5,400","-5,400",-,-,-,"39,800",-,"1,102,100","-38,700",-,-,-,"-13,130,100","-13,130,100","-141,000","-141,000",-,"391,900","391,900","-50,000","-50,000",-,-,-,"-2,158,200","-3,061,000","902,800",-,-,"11,411,800","11,411,800","5,406,700","547,700","578,400","-30,700","4,859,000","157,700","157,700",0,0,0,-,"-166,200",-,-,-,"-18,500","1,043,400","527,000","516,400","197,600","452,900","-141,000","157,700","578,400","-30,700",0,"2,104,300"
2,12/31/2021,"-2,654,000","-2,654,000","899,200",-,-,-,-,-,"50,000","50,000","50,000","91,500","91,500",-,-,-,"35,100",-,"-3,524,300","-157,600",-,-,-,"-14,711,900","-14,711,900","-69,400","-69,400",-,"1,182,800","1,182,800","-1,024,400","-1,024,400",-,-,-,"-2,135,900","-4,014,800","1,878,900",-,-,"15,210,600","15,210,600","-1,162,300","579,800","1,055,700","-475,900","-1,742,100","540,300","540,300",0,"294,500","294,500",-,"-127,600",-,-,-,"-15,800","516,400","-2,155,300","2,671,700","175,700","111,600","-69,400","834,800","1,055,700","-475,900",0,"-2,723,400"
3,12/31/2020,"670,200","670,200","506,600","-2,300",-,-,"-4,000",-,"34,600","34,600","34,600","24,100","24,100",-,-,-,"28,700",-,"-11,700","-10,400",-,-,-,"-7,537,500","-7,537,500","-26,800","-26,800",-,-,-,-,-,-,-,-,"-1,619,400","-3,316,500","1,697,100",-,"5,900","9,104,400","9,104,400","151,200","151,200","226,200","-75,000",-,"-71,600",-,"-71,600",-,-,-,"-101,300","-101,300",-,-,"-7,900","2,671,700","2,237,100","434,600","44,200","108,600","-26,800",-,"226,200","-75,000","-71,600","643,400"
4,12/31/2019,"717,772","717,772","499,171","-8,683",-,278,"-8,271",-,"28,915","28,915","28,915","36,372","36,372",-,-,-,"26,238",-,"-11,182","111,346",-,-,"111,346","-3,723,033","-3,723,033","-35,148","-35,148",-,-,-,"-8,688","-8,688",-,"1,325","1,325","-251,131","-1,218,768","967,637",-,948,"2,941,285","2,941,285","-496,736","-496,736",-,"-496,736",-,"-120,131",-,"-120,131",-,-,-,"-51,329","-51,329",-,80,"-9,645","434,596","-63,976","498,572",-,"180,436","-35,148",-,-,"-496,736","-120,131","682,624"
5,12/31/2018,"540,972","540,972","435,788","8,585",-,-44,"11,267",-,"14,319","14,319","14,319","19,189","19,189",-,-,"3,611","25,711",-,"-20,554","20,687","1,378","19,309",-,"-2,713,433","-2,713,433","-11,313","-11,313",-,-,-,"-4,129","-4,129",-,"9,412","9,412","-121,431","-758,635","637,204",-577,"10,720","2,254,265","2,254,265","97,394","97,394","97,394",-,-,"-35,688",0,"-35,688",-,-,-,-,-,-,554,"-12,910","498,572","81,804","416,768","18,760","113,507","-11,313",0,"97,394",-,"-35,688","529,659"
6,12/31/2017,"383,811","383,811","325,492","-3,260",-,28,"-2,343",-,"13,393","13,393","13,393","113,826","113,826",-,-,-,"23,554","-6,608","-29,819","-86,955","-105,293","18,338",-,"-2,955,527","-2,955,527","-8,862","-8,862",-,-,-,0,-,-,"21,195","21,195","-1,094,545","-1,532,647","438,102",-,"21,267","2,703,993","2,703,993","294,289","294,289","294,289",-,-,0,0,-,0,-,0,0,-,0,846,"-13,811","416,768","132,277","284,491","99,430","59,838","-8,862",0,"294,289",-,0,"374,949"
7,12/31/2016,"-3,110","-3,110","259,798","-253,028",-,-,-,"-253,028",-,-,-,-,-,-,-,-,-,-359,"-9,521",-,-,-,-,"-209,736","-209,736",0,-,-,-,-,"-226,869","-226,869",-,0,0,"14,363","-20,148","34,511",-,-,"216,628","216,628","169,256","169,256","169,256",0,-,"55,785","55,785",-,0,-,0,0,-,0,"1,070","-9,483","11,409","3,782","7,627",189,"5,165",-,"55,785","169,256",0,0,"-3,110"
8,12/31/2015,"127,208","127,208","194,244","-60,357",-,-,-,"-60,357",-,-,-,-,-,-,-,-,-,"-1,945","-4,734",-,-,-,-,"-8,910","-8,910",0,-,-,-,-,"-19,440","-19,440",-,"4,138","4,138","2,688",0,"2,688",-,-,"-122,526","-122,526","-83,444","-83,444",0,"-83,444",-,"28,288","28,288",-,"-70,500",-,"-70,500",-750,-,-750,"1,935","1,945","7,627","-4,228","11,855","54,590","4,235",-,"28,288",0,"-83,444","-70,500","127,208"
9,12/31/2014,"34,242","34,242","147,951","-88,054",-,-,-,"-88,556",-,-,-,-,-,-,-,-,-,"-4,194","-21,461",-,-,-,-,639,639,617,-,-,-,-,0,0,0,"9,610","9,610","-12,874","-23,431","10,557",-,-,"-30,154","-30,154","15,499","15,499","22,000","-6,501",-,"13,746","13,746",-,"-70,500",-,"-70,500","-1,387",-,"-1,387","8,294","4,194","11,855","4,727","7,128","32,238","9,067",-,"13,746","22,000","-6,501","-70,500","34,242"
10,12/31/2013,"165,049","165,049","114,523","2,376",0,-206,"1,195",-,"9,237","9,237","9,237","-12,403","-12,403",-,0,-,"7,699","-1,552","-29,892","52,114","32,313","13,318","6,483","-1,173,342","-1,173,342","-18,873",-,-,-,-,"21,204",-,-,"43,242","43,242","-493,454","-706,970","213,516",-,"46,574","1,109,182","1,109,182","59,272","59,272","70,159","-10,887",-,-,-,-,0,0,0,"-1,410",-,"-1,410","4,595","1,552","305,514","100,889","204,625","19,105","28,613","-18,873",0,"70,159","-10,887",0,"146,176"
11,12/31/2012,"111,960","111,960","72,834","-4,735",-892,-96,"-3,949",-,"9,561","9,561","9,561","21,722","21,722",-,"3,435",-,"6,318",-293,"-13,259","-39,545","-48,294","9,402",-653,"-536,514","-536,514","-8,554",-,-,-,-,"51,209",-,"51,209","40,948","40,948","292,972","-329,188","622,160",-,"43,532","474,184","474,184","-204,592","-204,592",-,"-204,592",-,0,0,-,0,0,0,"-3,793",-,"-3,793","2,802",293,"204,625","49,630","154,995","1,740","28,953","-8,554",0,-,"-204,592",0,"103,406"
12,12/31/2011,"142,475","142,475","31,494","20,032",0,673,"-4,798",-,"10,623","10,623",-,"15,303","15,303","8,339",226,-,"4,272",-,-,"5,998","3,709","7,910","-5,621","-812,428","-812,428","1,089",-,"1,089",-,-,-,-,-,-,-,"-244,652","-843,813","599,161",-,"45,477","608,202","608,202","294,217",-,-,-,-,362,362,-,"1,000","141,000","-140,000","-7,033",-,"-7,033",-,-415,"154,995","-61,751","216,746",0,"40,301",-,"141,362",-,-,"-140,000","142,475"
13,12/31/2010,300,300,"-7,195","5,754",-568,-398,"-19,757",-,"14,091","14,091",-,"-7,592","-7,592","6,309","1,186",-,"7,539",-,-2,"-113,001","-40,959","-72,411",369,"-710,288","-710,288","1,422",-,"1,422",-,-,-,-,-,"33,777","33,777","-426,953","-1,835,489","1,408,536",-,"4,501","529,904","529,904","-127,368",-,-,-,-,"47,933","47,933",-,-,-,-,"-7,000",-,"-7,000",-,-,"216,746","-180,084","396,830",0,"47,354",-,"47,933",-,-,-,300
14,12/31/2009,"74,755","74,755","-151,406","4,943",-54,-112,"-16,100",-,"15,489","15,489",-,"-46,300","-46,300","1,664","93,455",-,"8,753",0,-,-942,"-63,534","66,555","-3,963","-368,242","-368,242","4,951",-,-,-,-,0,-,-,"15,418","15,418","-234,461","-503,285","268,824",-,"-1,220","550,363","550,363","-703,986",0,-,-,-,"191,346","191,346",-,-,-,-,"-6,833",-,"-6,833",-,"131,720","396,830","256,876","139,954","47,249","73,851",-,"191,346",-,-,-,"74,755"
15,12/31/2008,"81,003","81,003","-236,460",-138,-,-,-138,-,"12,873","12,873",-,"-11,000","-11,000",-,-,-,-,-,"365,130","-49,402",-,-,-,"-520,756","-520,756","-6,795",-,-,-,-,-,-,-,-,-,"-9,699","-232,771","223,072",-,"-504,262","464,078","464,078","137,660","137,660","137,660",-,-,"221,240",-,-,-,-,-,-,-,-,-,-166,"139,954","24,325","115,629",-,-,"-6,795",-,"137,660",-,-,"74,208"
16,12/31/2007,"54,755","54,755","32,875",-434,-,-,-434,-,"12,782","12,782",-,"-4,219","-4,219",-,-,-,-,-,"26,947","-13,196",-,-,-,"-526,573","-526,573","-35,873",-,-,-,-,"47,491",-,-,-,-,"-187,789","-384,345","196,556",-,"-350,402","322,567","322,567","594,398","594,398","611,280","-16,882",-,"-15,823",-,-,-,-,-,-,-,-,-,-246,"115,629","-149,251","264,880",-,-,"-35,873",-,"611,280","-16,882",-,"18,882"
17,12/31/2006,"43,764","43,764","39,889","4,436",-,-,"4,436",-,"7,734","7,734",-,"2,968","2,968",-,-,-,-,-,"7,051","-18,314",-,-,-,"-426,217","-426,217","-35,172",-,-,-,-,"-5,965",-,-,-,-,"242,096","-205,748","447,844",-,"-627,176","472,997","472,997","121,985","121,985","121,985",-,-,"11,790",-,-,-,-,-,-,-,-,-,98,"264,880","90,544","174,336",-,-,"-35,172",-,"121,985",-,-,"8,592"
18,12/31/2005,"34,359","34,359","28,065",-,-,-,-,-,"5,002","5,002",-,"-2,158","-2,158",-,-,-,-,-,"5,249","-1,799",-,-,-,"-599,963","-599,963","-22,756",-,-,-,-,-,-,-,-,-,"51,859","-148,480","200,339",-,"-629,066","624,543","624,543","-100,324","-100,324",-,"-100,324",-,"87,091",-,-,-,-,-,-,-,-,-,-,"174,336","58,939","115,397",-,-,"-22,756",-,-,"-100,324",-,"11,603"
19,12/31/2004,"27,274","27,274","20,057",-,-,-,-,-,"6,327","6,327",-,-69,-69,-,-,-,-,-,"2,146","-1,187",-,-,-,"-565,234","-565,234","-13,899",-,-,-,-,-,-,-,-,-,"-93,701","-476,625","382,924",-,"-457,634","587,449","587,449","-89,467","-89,467",-,"-89,467",-,"15,526",-,-,-,-,-,-,-,-,-,-,"115,397","49,489","65,908",-,-,"-13,899",-,-,"-89,467",-,"13,375"
20,12/31/2003,"12,696","12,696","8,689",-,-,-,-,-,"4,741","4,741",-,"-1,470","-1,470",-,-,-,-,-,"4,593","-3,857",-,-,-,"-794,481","-794,481","-7,071",-,-,-,-,-,-,-,-,-,"-494,828","-638,346","143,518",-,"-292,582","688,010","688,010","288,661","288,661","288,661",-,-,"25,007",-,-,-,-,-,-,-,-,-,-,"65,908","-93,775","159,683",-,-,"-7,071",-,"288,661",-,-,"5,625"
